num,Year ,season ,city,colorname,hexcode,cv,color,symbol,
1,21/22,A/W,Nework,MYKONOS BLUE ,03457C,trend,BLUE,"상쾌한, 에게해",
2,21/22,A/W,Nework,ILUMINATING,F6DE3E,trend,YELLOW,"친절함, 즐거움, 화창함, 낙관적인",
3,21/22,A/W,Nework,LEPRECHAUN,77647,trend,GREEN,"신화적, 경이로운",
4,21/22,A/W,Nework,FUCHSIA FEDORA,D10572,trend,PINK,"발랄한, 대담한, 매력있는",
5,21/22,A/W,Nework,PALE ROSETTE ,F9B7B4,trend,PINK,"사랑스럽고, 부드러운, 로맨틱",
6,21/22,A/W,Nework,ADOBE ,A24514,trend,BROWN,"따뜻하고, 지지력있는, 말린점토",
7,21/22,A/W,Nework,FIRE WHIRL,B21517,trend,RED,"역동적인, 존재감, 강렬한",
8,21/22,A/W,Nework,RHODONITE,140E32,trend,BLUE ,"균형잡힌, 잠재력",
9,21/22,A/W,Nework,SPRING LAKE,577D99,trend,BLUE,"조용한, 편안한, 미드톤",
10,21/22,A/W,Nework,ROOT BEER ,5F2B1F,trend,BROWN,"뿌리, 껍질, 허브 ",
11,21/22,A/W,Nework,COCONUT CREAM,DCD1CE,classic,WHITE,"도톰한, 풍부한, 벨벳의",
12,21/22,A/W,Nework,ULTIMATE GRAY ,9A9CA0,classic,GRAY,"침착함, 조용함, 안정적인",
13,21/22,A/W,Nework,SOYBEAN,E2CAA3,classic,BROWN,"부드럽고, 친근한",
14,21/22,A/W,Nework,OLIVE BRANCH ,67682D,classic,GREEN,"성장,가지",
15,21,S/S,Nework,MARIGOLD ,F0913F,trend,ORANGE,"편안함, 따뜻함",
16,21,S/S,Nework,CERULEAN,BACAE3,trend,BLUE,"고요함, 맑음,푸름",
17,21,S/S,Nework,RUST,A64E2D,trend,BROWN,"흙, 가을 ",
18,21,S/S,Nework,ILUMINATING,F6DE3E,trend,YELLOW,"친절함, 즐거움, 화창함, 낙관적인",
19,21,S/S,Nework,FRENCH BLUE,3D6EB7,trend,GREEN,"봄, 파리, 감동적인",
20,21,S/S,Nework,GREEN ASH,87B084,trend,GREEN,진정,
21,21,S/S,Nework,BURNT CORAL,B3E1BE,trend,PINK,유쾌,
22,21,S/S,Nework,MINT,F09788,trend,GREEN,상쾌,
23,21,S/S,Nework,AMETHYST ORCHID,4CA769,trend,PURPLE,독특함,
24,21,S/S,Nework,RASPBEERRY SORBET,7B4381,trend,PINK,생기,
25,21,S/S,Nework,INKWELL,D24167,classic,BLACK,"깊고, 강렬함, 검게 물든",
26,21,S/S,Nework,ULTIMATE GRAY ,9A9CA0,classic,GRAY,"침착함, 조용함, 안정적인",
27,21,S/S,Nework,BUTTERCREAM,A1A19F,classic,BROWN,"간편함, 맛있음(미색)",
28,21,S/S,Nework,DESERT MIST,F1E5D3,classic,ORANGE,모래 ,
29,21,S/S,Nework,WILLOW,DCA971,classic,BROWN,"드러냄, 은폐함",
30,21/22,A/W,Rondon,GREEN BEE,A28046,trend,green,"풀잎, 자연",
31,21/22,A/W,Rondon,TONATO CREAM,CF763A,trend,orange,"따뜻함,부드러운",
32,21/22,A/W,Rondon,IBIZA BLUE,2A65AE,trend,blue,감동적인,
33,21/22,A/W,Rondon,ILLUMINATING,F6DE3E,trend,yellow,"친절함, 즐거움, 화창함, 낙관적인",
34,21/22,A/W,Rondon,WINERY,70131B,trend,brown,"견고함, 침착한, 기교한",
35,21/22,A/W,Rondon,FIRST BLUSH,ECC9C7,trend,pink,"섬세한, 부드러운",
36,21/22,A/W,Rondon,DOWNTOWN BROWN,49281B,trend,brown,스웨그,
37,21/22,A/W,Rondon,DAYLILY,EFB23E,trend,yellow,"상큼한, 영원한 매력",
38,21/22,A/W,Rondon,CLEAR SKY,A8C2DE,trend,blue,"구름한점없는, 시원한",
39,21/22,A/W,Rondon,RED ALERT,D33029,trend,red,"임팩트있는, 존재감, 암시적인",
40,21/22,A/W,Rondon,PERFECTLY PALE,E4DBD2,Classics,white,모래사장,
41,21/22,A/W,Rondon,ULITMATE GRAY,9A9CA0,Classics,gray,"조용함, 신뢰성, 평정심",
42,21/22,A/W,Rondon,OLIVE BRANCH,6B6B3A,Classics,green,"세련됨, 성장",
43,21/22,A/W,Rondon,ALTER MDNIGTH,151924,Classics,black,무적의,
44,21,S/S  ,Rondon,PIROUETTE,E2A5CE,trend,pink,"투명함, 부드러운",
45,21,S/S  ,Rondon,PICKLED PEPPER,BCBB5B,trend,green,"달콤한, 기분좋은",
46,21,S/S  ,Rondon,PURPLE ROSE,CAB0D8,trend,purple,매혹된,
47,21,S/S  ,Rondon,ORANGE OCHRE,DC7337,trend,orange,"초월함, 흙빛",
48,21,S/S  ,Rondon,BEACH GLASS,ACDCC2,trend,green,"파도, 부드러움, 물",
49,21,S/S  ,Rondon,MARIGOLD,F1A856,trend,orange,"편안함, 따뜻함",
50,21,S/S  ,Rondon,LNDIGO BUNTING,2F6EB4,trend,blue,경쾌함,
51,21,S/S  ,Rondon,LAVA FALLS,93291C,trend,red,"뜨거움,분출, 에너지",
52,21,S/S  ,Rondon,ILLUMINATING,F6DE3E,trend,yellow,"친절함, 즐거움, 화창함, 낙관적인",
53,21,S/S  ,Rondon,BLUE ATOLL,5FCDDE,trend,blue,"바다, 열대 섬 ",
54,21,S/S  ,Rondon,BABY'S BREATH,FAF5EC,Classics,white,"가벼운, 옅은",
55,21,S/S  ,Rondon,MACCHIATO,D29168,Classics,brown,"따뜻한, 커피",
56,21,S/S  ,Rondon,POLAR NIGTH,2B2934,Classics,black,"깊고, 편안함",
57,21,S/S  ,Rondon,ULITMATE GRAY,9A9CA0,Classics,gray,"조용함, 신뢰성, 평정심",
58,21,S/S  ,Rondon,SPHAGNUM,403C1F,Classics,green,"이끼낀, 바닥",
